Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Partnership Health Plan,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP_ACUTE_DETOX,INPATIENT,Per Day Rate for all Inpatient services for where stay is in a detox bed,,,,,,,,"$5,347.00 ",,,,"$5,655.00 ","$4,298.00 ",,"$6,471.00 ","$6,471.00 ","$5,627.00 ","$4,333.00 ",,,,,,,"$7,595.00 ",,,,,,,"$5,227.25 ",,,"$6,547.00 ",,"$6,547.00 ","$4,792.00 ","$4,298.00 ","$7,595.00 "
IP_ACUTE_REHAB,INPATIENT,Per Day Rate for all Inpatient services for where stay is in an Acute Rehab bed,,,,,,,,"$7,399.00 ",,,,"$8,433.00 ","$6,409.00 ",,"$8,660.00 ","$8,660.00 ","$7,530.00 ","$5,798.00 ",,,,"$11,047.00 ",,,"$7,399.00 ",,,,,,,"$5,289.05 ",,,"$7,380.00 ",,"$7,380.00 ","$5,399.00 ","$5,289.05 ","$11,047.00 "
IP_ALL_PERDIEM,INPATIENT,Per Day Rate for all Inpatient Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,281.00 ",,,,,,,,,"$4,281.00 ","$4,281.00 "
IP_BARIATRIC_I,INPATIENT,Rate for all Inpatient services for Bariatric Surgery Level 1 procedures,,,,,,,,"$48,662.00 ",,,,"$46,626.00 ","$35,436.00 ",,"$59,257.00 ","$59,257.00 ","$51,528.00 ","$39,676.00 ",,,,"$50,674.00 ",,,"$58,348.00 ",,,,,,,"$56,155.60 ",,,"$58,064.00 ",,"$58,064.00 ","$54,729.00 ","$35,436.00 ","$59,257.00 "
IP_BARIATRIC_II,INPATIENT,Rate for all Inpatient services for Bariatric Surgery Level 2 procedures,,,,,,,,"$20,646.00 ",,,,"$19,781.00 ","$15,034.00 ",,"$25,138.00 ","$25,138.00 ","$21,859.00 ","$16,832.00 ",,,,"$21,499.00 ",,,"$43,763.00 ",,,,,,,"$42,116.70 ",,,"$42,264.00 ",,"$42,264.00 ","$33,528.00 ","$15,034.00 ","$43,763.00 "
IP_BARIATRIC_III,INPATIENT,Rate for all Inpatient services for Bariatric Surgery Level 3 procedures,,,,,,,,"$20,646.00 ",,,,"$19,781.00 ","$15,034.00 ",,"$25,138.00 ","$25,138.00 ","$21,859.00 ","$16,832.00 ",,,,"$21,499.00 ",,,"$21,882.00 ",,,,,,,"$21,059.38 ",,,"$21,135.00 ",,"$21,135.00 ","$21,659.00 ","$15,034.00 ","$25,138.00 "
IP_CHEM_REHAB,INPATIENT,Per Day Rate for all Inpatient services for where stay is in a psychiatric bed,,,,,,,,"$3,144.00 ",,,,,,,,,,,,,,,,,,,,,,,,"$2,928.29 ",,,,,,,"$2,928.29 ","$3,144.00 "
IP_DELIVER_I,INPATIENT,Rate for all Inpatient services for Normal Vaginal Delivery,,,,,,,,"$15,334.00 ",,,,"$14,650.00 ","$11,134.00 ",,"$18,875.00 ","$18,875.00 ","$16,413.00 ","$12,638.00 ",,,,"$20,145.00 ",,,"$15,885.00 ",,,,,,,"$10,861.35 ",,,"$15,070.00 ",,"$15,070.00 ","$11,035.00 ","$10,861.35 ","$20,145.00 "
IP_DELIVER_II,INPATIENT,Rate for all Inpatient services for C-Section delivery,,,,,,,,"$23,416.00 ",,,,"$22,349.00 ","$16,985.00 ",,"$29,116.00 ","$29,116.00 ","$25,318.00 ","$19,495.00 ",,,,"$30,587.00 ",,,"$24,215.00 ",,,,,,,"$16,631.41 ",,,"$23,031.00 ",,"$23,031.00 ","$16,856.00 ","$16,631.41 ","$30,587.00 "
IP_DELIVER_III,INPATIENT,Rate for all Inpatient services for Complicated Delivery,,,,,,,,"$38,751.00 ",,,,"$36,805.00 ","$27,972.00 ",,"$47,590.00 ","$47,590.00 ","$41,383.00 ","$31,865.00 ",,,,"$50,914.00 ",,,"$39,904.00 ",,,,,,,"$27,492.76 ",,,"$38,002.00 ",,"$38,002.00 ","$27,814.00 ","$27,492.76 ","$50,914.00 "
