ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medi-Cal,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medi-Cal / California Health & Wellness,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
APRDRG-001-2,INPATIENT,All Inpatient Services for APRDRG-001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$103,276.00 ",,,,,,,,,,,,,"$103,276.00 ","$103,276.00 "
APRDRG-001-3,INPATIENT,All Inpatient Services for APRDRG-001-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$126,099.00 ",,,,,,,,,,,,,"$126,099.00 ","$126,099.00 "
APRDRG-001-4,INPATIENT,All Inpatient Services for APRDRG-001-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$225,671.00 ",,,,,,,,,,,,,"$225,671.00 ","$225,671.00 "
APRDRG-002-1,INPATIENT,All Inpatient Services for APRDRG-002-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$136,384.00 ",,,,,,,,,,,,,"$136,384.00 ","$136,384.00 "
APRDRG-002-2,INPATIENT,All Inpatient Services for APRDRG-002-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$157,501.00 ",,,,,,,,,,,,,"$157,501.00 ","$157,501.00 "
APRDRG-002-3,INPATIENT,All Inpatient Services for APRDRG-002-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$199,349.00 ",,,,,,,,,,,,,"$199,349.00 ","$199,349.00 "
APRDRG-002-4,INPATIENT,All Inpatient Services for APRDRG-002-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$348,299.00 ",,,,,,,,,,,,,"$348,299.00 ","$348,299.00 "
APRDRG-004-1,INPATIENT,All Inpatient Services for APRDRG-004-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$77,674.00 ",,,,,,,,,,,,,"$77,674.00 ","$77,674.00 "
APRDRG-004-2,INPATIENT,All Inpatient Services for APRDRG-004-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$104,068.00 ",,,,,,,,,,,,,"$104,068.00 ","$104,068.00 "
APRDRG-004-3,INPATIENT,All Inpatient Services for APRDRG-004-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$152,588.00 ",,,,,,,,,,,,,"$152,588.00 ","$152,588.00 "
APRDRG-004-4,INPATIENT,All Inpatient Services for APRDRG-004-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$222,390.00 ",,,,,,,,,,,,,"$222,390.00 ","$222,390.00 "
