Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,HealthSmart PPO,Multiplan PPO,Partnership Health Plan,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP_ALL_PERDIEM,INPATIENT,Per Day Rate for all Inpatient Services,,,,,,,,,,,,,,,,,,,,,,,,,"$5,129.00 ",,,,,,"$5,129.00 ","$5,129.00 "
IP_RX-68000300-ERX180633,INPATIENT,HCHG TC-99M SESTAMIBI DIAGNOSTIC UP TO 40MC (AKA A9500),,,250,"$1,351.73 ","$1,081.38 ","$1,094.90 ","$1,094.90 ","$1,094.90 ","$1,081.38 ","$1,081.38 ","$1,081.38 ","$1,081.38 ","$1,081.38 ","$1,081.38 ","$1,081.38 ","$1,081.38 ","$1,216.56 ","$1,216.56 ","$1,216.56 ","$1,148.97 ","$1,148.97 ","$1,148.97 ","$1,216.56 ","$1,216.56 ",,"$1,216.56 ","$1,216.56 ","$1,216.56 ","$1,216.56 ","$1,216.56 ","$1,081.38 ","$1,216.56 "
IP_RX-80000001-ERX128032,INPATIENT,BUPIVACAINE PF 0.25% SOLN,S0020,,250,$75.00 ,$60.00 ,$60.75 ,$60.75 ,$60.75 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$67.50 ,$67.50 ,$67.50 ,$63.75 ,$63.75 ,$63.75 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$60.00 ,$67.50 
IP_RX-80000001-ERX128033,INPATIENT,BUPIVACAINE PF 0.5% SOLN 30 ML VIAL,S0020,0409-1162-02,636,$37.50 ,$30.00 ,$30.38 ,$30.38 ,$30.38 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$33.75 ,$33.75 ,$33.75 ,$31.88 ,$31.88 ,$31.88 ,$33.75 ,$33.75 ,,$33.75 ,$33.75 ,$33.75 ,$33.75 ,$33.75 ,$30.00 ,$33.75 
IP_RX-80000001-ERX13463,INPATIENT,METRONIDAZOLE 500MG/100ML SOLN,S0030,0409-7811-24,250,$75.00 ,$60.00 ,$60.75 ,$60.75 ,$60.75 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$60.00 ,$67.50 ,$67.50 ,$67.50 ,$63.75 ,$63.75 ,$63.75 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$67.50 ,$60.00 ,$67.50 
IP_RX-80000001-ERX159911,INPATIENT,NOREPINEPHRINE 1MG/ML SOLN 4 ML VIAL,J3490,0409-3375-04,250,$159.38 ,$127.50 ,$129.10 ,$129.10 ,$129.10 ,$127.50 ,$127.50 ,$127.50 ,$127.50 ,$127.50 ,$127.50 ,$127.50 ,$127.50 ,$143.44 ,$143.44 ,$143.44 ,$135.47 ,$135.47 ,$135.47 ,$143.44 ,$143.44 ,,$143.44 ,$143.44 ,$143.44 ,$143.44 ,$143.44 ,$127.50 ,$143.44 
IP_RX-80000001-ERX17369,INPATIENT,BUPIVACAINE PF 7.5MG/ML SOLN,J3490,0409-3613-01,250,$37.50 ,$30.00 ,$30.38 ,$30.38 ,$30.38 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$30.00 ,$33.75 ,$33.75 ,$33.75 ,$31.88 ,$31.88 ,$31.88 ,$33.75 ,$33.75 ,,$33.75 ,$33.75 ,$33.75 ,$33.75 ,$33.75 ,$30.00 ,$33.75 
IP_RX-80000001-ERX20507,INPATIENT,SULFAMETHOXAZOLE/TRIMETHOPRIM 16MG TMP/ML SOLN 10 ML VIAL,J3490,,250,$41.17 ,$32.94 ,$33.35 ,$33.35 ,$33.35 ,$32.94 ,$32.94 ,$32.94 ,$32.94 ,$32.94 ,$32.94 ,$32.94 ,$32.94 ,$37.05 ,$37.05 ,$37.05 ,$34.99 ,$34.99 ,$34.99 ,$37.05 ,$37.05 ,,$37.05 ,$37.05 ,$37.05 ,$37.05 ,$37.05 ,$32.94 ,$37.05 
IP_RX-80000001-ERX23286,INPATIENT,SULFAMETHOXAZOLE/TRIMETHOPRIM 200MG-40MG/5ML SUSP,Z7610,,250,$15.00 ,$12.00 ,$12.15 ,$12.15 ,$12.15 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$13.50 ,$13.50 ,$13.50 ,$12.75 ,$12.75 ,$12.75 ,$13.50 ,$13.50 ,,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$13.50 ,$12.00 ,$13.50 
IP_RX-80000001-ERX25057,INPATIENT,"AZTREONAM 1,000MG SOLR",S0073,,250,$140.71 ,$112.57 ,$113.98 ,$113.98 ,$113.98 ,$112.57 ,$112.57 ,$112.57 ,$112.57 ,$112.57 ,$112.57 ,$112.57 ,$112.57 ,$126.64 ,$126.64 ,$126.64 ,$119.60 ,$119.60 ,$119.60 ,$126.64 ,$126.64 ,,$126.64 ,$126.64 ,$126.64 ,$126.64 ,$126.64 ,$112.57 ,$126.64 
