Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Central California Alliance for Health,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medi-Cal / California Health & Wellness,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Stanford Advantage Medicare Adv_ HMO,Sutter Health Plus HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
APRDRG-001-1,INPATIENT,All Inpatient Services for APRDRG-001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$177,085.00 ",,,,,,,,,,,,,"$177,085.00 ","$177,085.00 "
APRDRG-001-2,INPATIENT,All Inpatient Services for APRDRG-001-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$191,768.00 ",,,,,,,,,,,,,"$191,768.00 ","$191,768.00 "
APRDRG-001-3,INPATIENT,All Inpatient Services for APRDRG-001-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$234,146.00 ",,,,,,,,,,,,,"$234,146.00 ","$234,146.00 "
APRDRG-001-4,INPATIENT,All Inpatient Services for APRDRG-001-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$419,035.00 ",,,,,,,,,,,,,"$419,035.00 ","$419,035.00 "
APRDRG-002-1,INPATIENT,All Inpatient Services for APRDRG-002-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$253,243.00 ",,,,,,,,,,,,,"$253,243.00 ","$253,243.00 "
APRDRG-002-2,INPATIENT,All Inpatient Services for APRDRG-002-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$292,453.00 ",,,,,,,,,,,,,"$292,453.00 ","$292,453.00 "
APRDRG-002-3,INPATIENT,All Inpatient Services for APRDRG-002-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$370,159.00 ",,,,,,,,,,,,,"$370,159.00 ","$370,159.00 "
APRDRG-002-4,INPATIENT,All Inpatient Services for APRDRG-002-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$646,735.00 ",,,,,,,,,,,,,"$646,735.00 ","$646,735.00 "
APRDRG-004-1,INPATIENT,All Inpatient Services for APRDRG-004-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$144,228.00 ",,,,,,,,,,,,,"$144,228.00 ","$144,228.00 "
APRDRG-004-2,INPATIENT,All Inpatient Services for APRDRG-004-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$193,238.00 ",,,,,,,,,,,,,"$193,238.00 ","$193,238.00 "
APRDRG-004-3,INPATIENT,All Inpatient Services for APRDRG-004-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$283,332.00 ",,,,,,,,,,,,,"$283,332.00 ","$283,332.00 "
APRDRG-004-4,INPATIENT,All Inpatient Services for APRDRG-004-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$412,942.00 ",,,,,,,,,,,,,"$412,942.00 ","$412,942.00 "
APRDRG-005-1,INPATIENT,All Inpatient Services for APRDRG-005-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$112,844.00 ",,,,,,,,,,,,,"$112,844.00 ","$112,844.00 "
APRDRG-005-2,INPATIENT,All Inpatient Services for APRDRG-005-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$155,137.00 ",,,,,,,,,,,,,"$155,137.00 ","$155,137.00 "
APRDRG-005-3,INPATIENT,All Inpatient Services for APRDRG-005-3,,,,,,,,,,,,,,,,,,,,,,,,,,,"$197,414.00 ",,,,,,,,,,,,,"$197,414.00 ","$197,414.00 "
APRDRG-005-4,INPATIENT,All Inpatient Services for APRDRG-005-4,,,,,,,,,,,,,,,,,,,,,,,,,,,"$272,173.00 ",,,,,,,,,,,,,"$272,173.00 ","$272,173.00 "
APRDRG-006-1,INPATIENT,All Inpatient Services for APRDRG-006-1,,,,,,,,,,,,,,,,,,,,,,,,,,,"$169,579.00 ",,,,,,,,,,,,,"$169,579.00 ","$169,579.00 "
APRDRG-006-2,INPATIENT,All Inpatient Services for APRDRG-006-2,,,,,,,,,,,,,,,,,,,,,,,,,,,"$223,746.00 ",,,,,,,,,,,,,"$223,746.00 ","$223,746.00 "
