Date of Last Update,12/15/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SERVICE_SETTING,DESCRIPTION,CPT,NDC,REVENUE_CODE,Gross Charge,Discounted Cash Price,Aetna Commercial Out of Network,Aetna Commercial Out of Network - Emergency Services,Aetna HMO/PPO,Alignment Medicare Adv_ HMO / PPO,Anthem Blue Cross Commercial Out of Network,Anthem Blue Cross Commercial Out of Network - Emergency Services,Anthem CalPERS EPO,Anthem HMO/PPO,Anthem Individual,Anthem Medicare Adv_ HMO / PPO,Blue Shield Commercial Out of Network,Blue Shield Commercial Out of Network - Emergency Services,Blue Shield HMO / PPO,Blue Shield Individual,Blue Shield Medicare Adv_ HMO / PPO,Cigna Commercial Out of Network,Cigna Commercial Out of Network - Emergency Services,Cigna HMO/PPO,Health Net Commercial Out of Network,Health Net Commercial Out of Network - Emergency Services,Health Net HMO / PPO,Health Net Medicare Adv_ HMO / PPO,HealthSmart PPO,Humana Medicare Adv_ HMO,Multiplan PPO,Partnership Health Plan,Stanford Advantage Medicare Adv_ HMO,United Commercial Out of Network,United Commercial Out of Network - Emergency Services,United HMO / POS,United Medicare Adv_ HMO and PPO,United PPO,United Signature Value Alliance,Minimum Negotiated Price,Maximum Negotiated Price
IP_ALL_PERDIEM,INPATIENT,Per Day Rate for all Inpatient Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,129.00 ",,,,,,,,"$5,129.00 ","$5,129.00 "
IP_RX-52000027-ERX158871,INPATIENT,NIVOLUMAB 100MG/10ML SOLN 10 ML VIAL,J9299,,636,$67.50 ,$54.00 ,$58.05 ,$58.05 ,$58.05 ,,$57.38 ,$57.38 ,$55.35 ,$57.38 ,$57.38 ,,$57.38 ,$57.38 ,$57.38 ,$57.38 ,,$62.78 ,$62.78 ,$62.78 ,$60.75 ,$60.75 ,$60.75 ,,$60.75 ,,$60.75 ,,,$60.75 ,$60.75 ,$60.75 ,,$60.75 ,$60.75 ,$55.35 ,$62.78 
IP_RX-80000001-ERX122191,INPATIENT,SUFENTANIL PF 50MCG/ML SOLN 2 ML AMPULE,J3490,17478-050-02,250,$45.00 ,$36.00 ,$38.70 ,$38.70 ,$38.70 ,,$38.25 ,$38.25 ,$36.90 ,$38.25 ,$38.25 ,,$38.25 ,$38.25 ,$38.25 ,$38.25 ,,$41.85 ,$41.85 ,$41.85 ,$40.50 ,$40.50 ,$40.50 ,,$40.50 ,,$40.50 ,,,$40.50 ,$40.50 ,$40.50 ,,$40.50 ,$40.50 ,$36.90 ,$41.85 
IP_RX-80000001-ERX128032,INPATIENT,BUPIVACAINE PF 0.25% SOLN,S0020,,250,$75.00 ,$60.00 ,$64.50 ,$64.50 ,$64.50 ,,$63.75 ,$63.75 ,$61.50 ,$63.75 ,$63.75 ,,$63.75 ,$63.75 ,$63.75 ,$63.75 ,,$69.75 ,$69.75 ,$69.75 ,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,,$67.50 ,,,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$61.50 ,$69.75 
IP_RX-80000001-ERX128033,INPATIENT,BUPIVACAINE PF 0.5% SOLN 30 ML VIAL,S0020,0409-1162-02,636,$75.00 ,$60.00 ,$64.50 ,$64.50 ,$64.50 ,,$63.75 ,$63.75 ,$61.50 ,$63.75 ,$63.75 ,,$63.75 ,$63.75 ,$63.75 ,$63.75 ,,$69.75 ,$69.75 ,$69.75 ,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,,$67.50 ,,,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$61.50 ,$69.75 
IP_RX-80000001-ERX13463,INPATIENT,METRONIDAZOLE 500MG/100ML SOLN,S0030,0409-7811-24,250,$75.00 ,$60.00 ,$64.50 ,$64.50 ,$64.50 ,,$63.75 ,$63.75 ,$61.50 ,$63.75 ,$63.75 ,,$63.75 ,$63.75 ,$63.75 ,$63.75 ,,$69.75 ,$69.75 ,$69.75 ,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,,$67.50 ,,,$67.50 ,$67.50 ,$67.50 ,,$67.50 ,$67.50 ,$61.50 ,$69.75 
IP_RX-80000001-ERX159911,INPATIENT,NOREPINEPHRINE 1MG/ML SOLN 4 ML VIAL,J3490,0409-3375-04,250,$157.80 ,$126.24 ,$135.71 ,$135.71 ,$135.71 ,,$134.13 ,$134.13 ,$129.40 ,$134.13 ,$134.13 ,,$134.13 ,$134.13 ,$134.13 ,$134.13 ,,$146.75 ,$146.75 ,$146.75 ,$142.02 ,$142.02 ,$142.02 ,,$142.02 ,,$142.02 ,,,$142.02 ,$142.02 ,$142.02 ,,$142.02 ,$142.02 ,$129.40 ,$146.75 
IP_RX-80000001-ERX17369,INPATIENT,BUPIVACAINE PF 7.5MG/ML SOLN,J3490,0409-3613-01,250,$37.50 ,$30.00 ,$32.25 ,$32.25 ,$32.25 ,,$31.88 ,$31.88 ,$30.75 ,$31.88 ,$31.88 ,,$31.88 ,$31.88 ,$31.88 ,$31.88 ,,$34.88 ,$34.88 ,$34.88 ,$33.75 ,$33.75 ,$33.75 ,,$33.75 ,,$33.75 ,,,$33.75 ,$33.75 ,$33.75 ,,$33.75 ,$33.75 ,$30.75 ,$34.88 
IP_RX-80000001-ERX20224,INPATIENT,STERILE WATER FOR INJECTION SOLN 100 ML VIAL,J3490,,636,$0.30 ,$0.24 ,$0.26 ,$0.26 ,$0.26 ,,$0.26 ,$0.26 ,$0.25 ,$0.26 ,$0.26 ,,$0.26 ,$0.26 ,$0.26 ,$0.26 ,,$0.28 ,$0.28 ,$0.28 ,$0.27 ,$0.27 ,$0.27 ,,$0.27 ,,$0.27 ,,,$0.27 ,$0.27 ,$0.27 ,,$0.27 ,$0.27 ,$0.25 ,$0.28 
IP_RX-80000001-ERX20507,INPATIENT,SULFAMETHOXAZOLE/TRIMETHOPRIM 16MG TMP/ML SOLN 10 ML VIAL,J3490,,250,$48.91 ,$39.13 ,$42.06 ,$42.06 ,$42.06 ,,$41.57 ,$41.57 ,$40.11 ,$41.57 ,$41.57 ,,$41.57 ,$41.57 ,$41.57 ,$41.57 ,,$45.49 ,$45.49 ,$45.49 ,$44.02 ,$44.02 ,$44.02 ,,$44.02 ,,$44.02 ,,,$44.02 ,$44.02 ,$44.02 ,,$44.02 ,$44.02 ,$40.11 ,$45.49 
